r,h,"FC1,2","FC2,1","FC2,2",FCsum,,,,,
2.1,2.8,2.47808,-3.46578,10.74393,3.79509,,,,,
2.1,2.85,2.53007,-3.55243,10.98654,3.88174,,,,,
2.1,2.9,2.59938,-3.62174,11.21181,3.95106,,,,,
2.1,2.95,2.65137,-3.69106,11.43709,4.0377,,,,,
2.1,3,2.70336,-3.76038,11.66236,4.12435,,,,,
2.1,3.05,2.73802,-3.84702,11.90497,4.19367,,,,,
2.1,3.1,2.80733,-3.93366,12.14757,4.28031,,,,,
2.1,3.15,2.85932,-4.00298,12.39018,4.36696,,,,,
2.1,3.2,2.91131,-4.0723,12.63278,4.4536,,,,,
2.1,3.25,2.94597,-4.15894,12.87539,4.54025,,,,,
2.1,3.3,3.01528,-4.22826,13.11799,4.6269,,,,,
2.1,3.35,3.06727,-4.3149,13.3606,4.69621,,,,,
2.1,3.4,3.11926,-4.40155,13.6032,4.78286,,,,,
2.1,3.45,3.17125,-4.47086,13.82848,4.8695,,,,,
2.1,3.5,3.24056,-4.54018,14.07108,4.95615,,,,,
2.1,3.55,3.29255,-4.64415,14.34835,5.0428,,,,,
2.1,3.6,3.34454,-4.69614,14.55629,5.12944,,,,,
2.1,3.65,3.39653,-4.80011,14.81623,5.19876,,,,,
2.1,3.7,3.44851,-4.88676,15.07616,5.28541,,,,,
2.1,3.75,3.51783,-4.93874,15.30144,5.38938,,,,,
2.1,3.8,3.56982,-5.02539,15.56137,5.47603,,,,,
2.1,3.85,3.62181,-5.11203,15.80398,5.56267,,,,,
2.1,3.9,3.69112,-5.19868,16.04658,5.63199,,,,,
2.1,3.95,3.74311,-5.28532,16.32384,5.71864,,,,,
2.1,4,3.77777,-5.35464,16.54912,5.82261,,,,,
2.1,4.05,3.84709,-5.44128,16.82638,5.90926,,,,,
2.1,4.1,3.89907,-5.52793,17.05166,5.97857,,,,,
2.1,4.15,3.95106,-5.61457,17.32892,6.06522,,,,,
2.1,4.2,4.02038,-5.71854,17.58885,6.15187,,,,,
2.1,4.25,4.07237,-5.78786,17.84879,6.25584,,,,,
2.1,4.3,4.12435,-5.8745,18.10872,6.34249,,,,,
2.1,4.35,4.17634,-5.94382,18.35133,6.42913,,,,,
2.1,4.4,4.24566,-6.04779,18.61126,6.51578,,,,,
2.1,4.45,4.31498,-6.13444,18.88852,6.60243,,,,,
2.1,4.5,4.36696,-6.22108,19.14846,6.68907,,,,,
2.1,4.55,4.41895,-6.2904,19.39106,6.77572,,,,,
2.1,4.6,4.48827,-6.37704,19.651,6.87969,,,,,
2.1,4.65,4.54026,-6.46369,19.91093,6.94901,,,,,
2.1,4.7,4.59224,-6.56766,20.18819,7.03566,,,,,
2.1,4.75,4.66156,-6.63698,20.4308,7.13963,,,,,
2.1,4.8,4.71355,-6.74095,20.70806,7.22628,,,,,
2.1,4.85,4.76554,-6.82759,20.98532,7.31292,,,,,
2.1,4.9,4.81752,-6.93157,21.26259,7.39957,,,,,
2.1,4.95,4.90417,-6.98355,21.50519,7.50354,,,,,
2.1,5,4.95616,-7.08753,21.78245,7.59019,,,,,
2.2,1.5,1.28236,-1.76755,5.5106,1.9582,,,,,
2.2,1.55,1.35168,-1.83687,5.73587,2.04484,,,,,
2.2,1.6,1.38634,-1.90618,5.94382,2.11416,,,,,
2.2,1.65,1.43833,-1.9755,6.1691,2.20081,,,,,
2.2,1.7,1.49031,-2.04481,6.39437,2.28745,,,,,
2.2,1.75,1.5423,-2.13146,6.63698,2.35677,,,,,
2.2,1.8,1.61162,-2.20077,6.86225,2.44342,,,,,
2.2,1.85,1.64628,-2.28742,7.08753,2.51273,,,,,
2.2,1.9,1.69826,-2.3394,7.3128,2.59938,,,,,
2.2,1.95,1.76758,-2.42605,7.53808,2.6687,,,,,
2.2,2,1.81957,-2.51269,7.79801,2.75534,,,,,
2.2,2.05,1.87156,-2.56468,8.00596,2.84199,,,,,
2.2,2.1,1.92354,-2.65132,8.24857,2.92863,,,,,
2.2,2.15,1.97553,-2.72064,8.47384,3.01528,,,,,
2.2,2.2,2.02752,-2.80729,8.73378,3.10193,,,,,
2.2,2.25,2.07951,-2.89393,8.97638,3.18857,,,,,
2.2,2.3,2.13149,-2.96325,9.21899,3.27522,,,,,
2.2,2.35,2.18348,-3.03256,9.44426,3.34453,,,,,
2.2,2.4,2.2528,-3.11921,9.68687,3.43118,,,,,
2.2,2.45,2.30479,-3.20585,9.9468,3.53516,,,,,
2.2,2.5,2.3741,-3.29249,10.18941,3.60447,,,,,
2.2,2.55,2.42609,-3.34448,10.43201,3.70845,,,,,
2.2,2.6,2.46075,-3.44846,10.69194,3.77776,,,,,
2.2,2.65,2.53007,-3.5351,10.95188,3.88174,,,,,
2.2,2.7,2.58205,-3.60442,11.19448,3.96839,,,,,
2.2,2.75,2.65137,-3.67373,11.43709,4.05503,,,,,
2.2,2.8,2.70336,-3.7777,11.69702,4.12435,,,,,
2.2,2.85,2.77268,-3.84702,11.95695,4.22832,,,,,
2.2,2.9,2.82466,-3.93366,12.19956,4.31497,,,,,
2.2,2.95,2.87665,-4.02031,12.45949,4.40162,,,,,
2.2,3,2.92864,-4.10695,12.71943,4.48826,,,,,
2.2,3.05,2.99796,-4.1936,12.97936,4.57491,,,,,
2.2,3.1,3.06727,-4.28024,13.2393,4.66155,,,,,
2.2,3.15,3.11926,-4.36689,13.49923,4.76553,,,,,
2.2,3.2,3.17125,-4.4362,13.75916,4.85218,,,,,
2.2,3.25,3.24056,-4.52285,14.0191,4.93882,,,,,
2.2,3.3,3.29255,-4.60949,14.27903,5.02547,,,,,
2.2,3.35,3.36187,-4.69614,14.53896,5.12944,,,,,
2.2,3.4,3.41386,-4.80011,14.81623,5.21609,,,,,
2.2,3.45,3.46584,-4.86943,15.07616,5.32006,,,,,
2.2,3.5,3.53516,-4.95607,15.35342,5.40671,,,,,
2.2,3.55,3.58715,-5.06004,15.63069,5.49336,,,,,
2.2,3.6,3.65647,-5.12936,15.87329,5.59733,,,,,
2.2,3.65,3.70845,-5.216,16.15055,5.68398,,,,,
2.2,3.7,3.76044,-5.30265,16.41049,5.77062,,,,,
2.2,3.75,3.84709,-5.40662,16.68775,5.85727,,,,,
2.2,3.8,3.88175,-5.49327,16.96501,5.96124,,,,,
2.2,3.85,3.96839,-5.57991,17.24228,6.04789,,,,,
2.2,3.9,4.02038,-5.68389,17.51954,6.15187,,,,,
2.2,3.95,4.07237,-5.77053,17.7968,6.23851,,,,,
2.2,4,4.12435,-5.85718,18.07406,6.34249,,,,,
2.2,4.05,4.19367,-5.94382,18.35133,6.42913,,,,,
2.2,4.1,4.26299,-6.03046,18.62859,6.53311,,,,,
2.2,4.15,4.31498,-6.11711,18.90585,6.61975,,,,,
2.2,4.2,4.38429,-6.22108,19.16579,6.7064,,,,,
2.2,4.25,4.43628,-6.30773,19.46038,6.81038,,,,,
2.2,4.3,4.52293,-6.39437,19.72031,6.91435,,,,,
2.2,4.35,4.57491,-6.49835,20.03223,7.01833,,,,,
2.2,4.4,4.64423,-6.60232,20.30949,7.10497,,,,,
2.2,4.45,4.69622,-6.67163,20.58676,7.20895,,,,,
2.2,4.5,4.76554,-6.77561,20.88135,7.29559,,,,,
2.2,4.55,4.83485,-6.87958,21.17594,7.39957,,,,,
2.2,4.6,4.88684,-6.96623,21.4532,7.50354,,,,,
2.2,4.65,4.95616,-7.0702,21.74779,7.59019,,,,,
2.2,4.7,5.02547,-7.15684,22.02506,7.69416,,,,,
2.2,4.75,5.09479,-7.26082,22.33698,7.79814,,,,,
2.2,4.8,5.12945,-7.34746,22.61424,7.88479,,,,,
2.2,4.85,5.2161,-7.45144,22.90883,7.98876,,,,,
2.2,4.9,5.26808,-7.53808,23.20342,8.09274,,,,,
2.2,4.95,5.3374,-7.64205,23.49802,8.17938,,,,,
2.2,5,5.40672,-7.76336,23.80994,8.28336,,,,,
2.3,1.5,1.40367,-1.92351,5.97848,2.13149,,,,,
2.3,1.55,1.45565,-1.99283,6.20375,2.21814,,,,,
2.3,1.6,1.50764,-2.06214,6.44636,2.30478,,,,,
2.3,1.65,1.55963,-2.14879,6.70629,2.39143,,,,,
2.3,1.7,1.62895,-2.23543,6.9489,2.46075,,,,,
2.3,1.75,1.68093,-2.30475,7.17417,2.54739,,,,,
2.3,1.8,1.73292,-2.39139,7.43411,2.63404,,,,,
2.3,1.85,1.78491,-2.46071,7.67671,2.73801,,,,,
2.3,1.9,1.85423,-2.54735,7.93665,2.82466,,,,,
2.3,1.95,1.90621,-2.61667,8.17925,2.9113,,,,,
2.3,2,1.9582,-2.70331,8.43918,2.99795,,,,,
2.3,2.05,2.02752,-2.78996,8.68179,3.0846,,,,,
2.3,2.1,2.07951,-2.8766,8.94172,3.17124,,,,,
2.3,2.15,2.13149,-2.96325,9.20166,3.27522,,,,,
2.3,2.2,2.20081,-3.03256,9.46159,3.36186,,,,,
2.3,2.25,2.27013,-3.13653,9.72152,3.44851,,,,,
2.3,2.3,2.32212,-3.20585,9.99879,3.55248,,,,,
2.3,2.35,2.39143,-3.29249,10.24139,3.63913,,,,,
2.3,2.4,2.44342,-3.37914,10.50133,3.72578,,,,,
2.3,2.45,2.49541,-3.46578,10.77859,3.82975,,,,,
2.3,2.5,2.56472,-3.55243,11.03852,3.9164,,,,,
2.3,2.55,2.61671,-3.6564,11.33311,4.00304,,,,,
2.3,2.6,2.68603,-3.74305,11.61038,4.10702,,,,,
2.3,2.65,2.73802,-3.82969,11.87031,4.19367,,,,,
2.3,2.7,2.80733,-3.91634,12.14757,4.29764,,,,,
2.3,2.75,2.87665,-4.00298,12.42484,4.40162,,,,,
2.3,2.8,2.94597,-4.10695,12.68477,4.50559,,,,,
2.3,2.85,2.99796,-4.17627,12.96203,4.59224,,,,,
2.3,2.9,3.04994,-4.28024,13.2393,4.67888,,,,,
2.3,2.95,3.11926,-4.36689,13.51656,4.78286,,,,,
2.3,3,3.18858,-4.45353,13.81115,4.88683,,,,,
2.3,3.05,3.25789,-4.55751,14.08841,4.97348,,,,,
2.3,3.1,3.32721,-4.64415,14.36567,5.06013,,,,,
2.3,3.15,3.3792,-4.7308,14.64294,5.18143,,,,,
2.3,3.2,3.43119,-4.81744,14.93753,5.26808,,,,,
2.3,3.25,3.5005,-4.90408,15.19746,5.37205,,,,,
2.3,3.3,3.56982,-5.00806,15.50938,5.47603,,,,,
2.3,3.35,3.63914,-5.0947,15.78665,5.58,,,,,
2.3,3.4,3.69112,-5.19868,16.08124,5.66665,,,,,
2.3,3.45,3.76044,-5.28532,16.37583,5.77062,,,,,
2.3,3.5,3.82976,-5.37197,16.65309,5.8746,,,,,
2.3,3.55,3.89907,-5.49327,16.94768,5.96124,,,,,
2.3,3.6,3.96839,-5.57991,17.24228,6.08255,,,,,
2.3,3.65,4.03771,-5.66656,17.53687,6.18652,,,,,
2.3,3.7,4.0897,-5.77053,17.83146,6.27317,,,,,
2.3,3.75,4.14168,-5.85718,18.14338,6.39447,,,,,
2.3,3.8,4.22833,-5.94382,18.40331,6.48112,,,,,
2.3,3.85,4.29765,-6.06512,18.71523,6.56777,,,,,
2.3,3.9,4.36696,-6.1691,19.04448,6.68907,,,,,
2.3,3.95,4.43628,-6.25574,19.33907,6.79305,,,,,
2.3,4,4.5056,-6.35971,19.63367,6.89702,,,,,
2.3,4.05,4.55759,-6.46369,19.92826,6.98367,,,,,
2.3,4.1,4.64423,-6.55033,20.22285,7.10497,,,,,
2.3,4.15,4.71355,-6.65431,20.53477,7.20895,,,,,
2.3,4.2,4.76554,-6.77561,20.86402,7.29559,,,,,
2.3,4.25,4.83485,-6.86225,21.15861,7.4169,,,,,
2.3,4.3,4.90417,-6.96623,21.47053,7.52087,,,,,
2.3,4.35,4.95616,-7.0702,21.78245,7.62485,,,,,
2.3,4.4,5.0428,-7.15684,22.07704,7.74615,,,,,
2.3,4.45,5.11212,-7.26082,22.38896,7.8328,,,,,
2.3,4.5,5.18144,-7.39945,22.71821,7.93677,,,,,
2.3,4.55,5.25075,-7.48609,23.03013,8.04075,,,,,
2.3,4.6,5.30274,-7.59007,23.34206,8.14472,,,,,
2.3,4.65,5.37206,-7.67671,23.65398,8.26603,,,,,
2.3,4.7,5.4587,-7.78069,23.9659,8.37,,,,,
2.3,4.75,5.52802,-7.88466,24.27782,8.47398,,,,,
2.3,4.8,5.61467,-8.00596,24.60707,8.59528,,,,,
2.3,4.85,5.68398,-8.10993,24.93632,8.69926,,,,,
2.3,4.9,5.73597,-8.21391,25.26557,8.82056,,,,,
2.3,4.95,5.82262,-8.31788,25.57749,8.92454,,,,,
