x,y,"FC1,2","FC2,1","FC2,2","FC2,3","FC3,2"
-3,-1,2.85932,-5.85718,14.00177,-3.18847,3.30988
-3,-0.5,2.96330,-5.94382,14.10574,-3.20579,3.20591
-3,0,3.08460,-5.94382,14.12307,-3.24045,3.06727
-3,0.5,3.20591,-5.94382,14.08841,-3.20579,2.96330
-3,1,3.30988,-5.85718,14.00177,-3.20579,2.85932
-3,1.5,3.44851,-5.70121,13.81115,-3.17114,2.75535
-3,2,3.58715,-5.52793,13.56854,-3.11915,2.66870
-3,2.5,3.74311,-5.31998,13.30861,-3.06717,2.56472
-3,3,3.88175,-5.07737,12.97936,-3.01518,2.47808
-3,3.5,4.03771,-4.78278,12.59813,-2.92854,2.40876
-3,4,4.21100,-4.47086,12.18223,-2.84189,2.32212
-3,4.5,4.40162,-4.17627,11.78367,-2.75525,2.25280
-3,5,4.57491,-3.84702,11.33311,-2.65128,2.16615
-2.5,-5,2.18348,-3.79503,11.38510,-2.77258,4.66156
-2.5,-4.5,2.27013,-4.08963,11.80099,-2.87655,4.47094
-2.5,-4,2.33944,-4.36689,12.19956,-2.98052,4.28032
-2.5,-3.5,2.42609,-4.64415,12.58080,-3.06717,4.10703
-2.5,-3,2.51274,-4.90408,12.94470,-3.15381,3.93373
-2.5,-2.5,2.59938,-5.12936,13.25662,-3.22312,3.77777
-2.5,-2,2.70336,-5.31998,13.51656,-3.29244,3.63914
-2.5,-1.5,2.79000,-5.47594,13.74183,-3.34442,3.48317
-2.5,-1,2.89398,-5.61457,13.89779,-3.36175,3.36187
-2.5,-0.5,2.99796,-5.70121,14.01910,-3.39641,3.22324
-2.5,0,3.10193,-5.70121,14.03643,-3.39641,3.10193
-2.5,0.5,3.24056,-5.70121,14.01910,-3.37908,2.99796
-2.5,1,3.36187,-5.61457,13.91512,-3.36175,2.89398
-2.5,1.5,3.48317,-5.47594,13.72450,-3.32710,2.79000
-2.5,2,3.63914,-5.31998,13.51656,-3.29244,2.70336
-2.5,2.5,3.77777,-5.11203,13.23930,-3.22312,2.59938
-2.5,3,3.95106,-4.90408,12.92737,-3.13648,2.51274
-2.5,3.5,4.10703,-4.64415,12.58080,-3.06717,2.42609
-2.5,4,4.28032,-4.38422,12.21689,-2.98052,2.35677
-2.5,4.5,4.45361,-4.10695,11.80099,-2.85922,2.27013
