x,y,"FC1,2","FC2,1","FC2,2","FC2,3","FC3,2"
4.5,-2,2.53007,-2.68598,13.65519,-5.97837,3.37920
4.5,-1.5,2.61671,-2.70331,13.86314,-6.15166,3.25789
4.5,-1,2.72069,-2.73797,14.08841,-6.34227,3.13659
4.5,-0.5,2.82466,-2.75530,14.22704,-6.46358,3.01528
4.5,0,2.91131,-2.75530,14.26170,-6.49823,2.91131
4.5,0.5,3.01528,-2.75530,14.22704,-6.46358,2.82466
4.5,1,3.15392,-2.73797,14.08841,-6.34227,2.72069
4.5,1.5,3.25789,-2.72064,13.88047,-6.16899,2.63404
4.5,2,3.37920,-2.68598,13.63786,-5.96105,2.54740
4.5,2.5,3.51783,-2.65132,13.29128,-5.66646,2.44342
4.5,3,3.65647,-2.59934,12.89272,-5.33721,2.37410
4.5,3.5,3.79510,-2.53002,12.44216,-4.95599,2.28746
4.5,4,3.95106,-2.47804,11.97428,-4.57476,2.21814
4.5,4.5,4.10703,-2.40872,11.47175,-4.15887,2.16615
4.5,5,4.29765,-2.33940,10.98654,-3.76031,2.07951
5,-5,2.04485,-2.25276,10.76126,-3.60435,4.17634
5,-4.5,2.11416,-2.30475,11.26380,-4.02024,4.00305
5,-4,2.18348,-2.37406,11.76634,-4.43613,3.84709
5,-3.5,2.25280,-2.44338,12.26888,-4.85201,3.69112
5,-3,2.33944,-2.47804,12.71943,-5.25057,3.55249
5,-2.5,2.40876,-2.53002,13.16998,-5.63180,3.41386
5,-2,2.47808,-2.58201,13.53389,-5.94372,3.29255
5,-1.5,2.56472,-2.58201,13.77649,-6.16899,3.18858
5,-1,2.66870,-2.61667,14.00177,-6.35960,3.06727
5,-0.5,2.75535,-2.63400,14.14040,-6.48090,2.94597
5,0,2.85932,-2.61667,14.17506,-6.51556,2.85932
5,0.5,2.94597,-2.61667,14.15773,-6.49823,2.75535
5,1,3.06727,-2.61667,14.00177,-6.35960,2.66870
5,1.5,3.18858,-2.59934,13.77649,-6.15166,2.58205
5,2,3.29255,-2.56468,13.51656,-5.94372,2.49541
5,2.5,3.41386,-2.53002,13.13532,-5.59714,2.40876
5,3,3.55249,-2.49536,12.73676,-5.26790,2.32212
5,3.5,3.69112,-2.42605,12.25155,-4.85201,2.25280
5,4,3.82976,-2.39139,11.78367,-4.45346,2.20081
5,4.5,4.02038,-2.32208,11.26380,-4.02024,2.11416
5,5,4.17634,-2.25276,10.74393,-3.58702,2.06218
